Values[k1].InitialValue	Values[kd1].InitialValue	Values[kt3].InitialValue	Values[kt5].InitialValue	Values[k2].InitialValue	Values[kd2].InitialValue	Time	[l1]	[l13]	[l15]	[l135]	[c]
1.89325	0.220897	409.563	661.268	17.149	0.0379812	0	0.00176765	0.00109445	0.00285246	0.108923	49.1803
3.443	0.192693	896.175	772.045	17.1442	0.0648127	0	0.00206364	0.00239484	0.00177742	0.198525	52.5136
3.02229	0.212601	789.499	847.166	17.3186	0.0360635	0	0.00184638	0.00172026	0.00198071	0.172327	82.7562
2.22299	0.318861	983.003	65.847	18.6162	0.0300335	0	0.00211881	0.0314784	0.000141883	0.116832	72.4184
1.3812	0.199563	874.986	828.767	17.6957	0.0307015	0	0.000810588	0.000855588	0.000767596	0.0771554	44.4708
1.6399	0.224309	45.4965	535.584	18.7714	0.0636612	0	0.00282107	0.000239543	0.0330466	0.0859038	25.3299
1.20458	0.237865	911.19	627.702	17.9184	0.0433817	0	0.000782636	0.00113567	0.000539002	0.0663127	27.3899
3.15043	0.163848	599.135	770.063	17.5569	0.0533083	0	0.00230066	0.00178961	0.00295621	0.177717	58.5305
1.40442	0.121901	573.998	395.021	17.7677	0.0700639	0	0.00144914	0.00210507	0.000997076	0.0784737	19.9004
2.7358	0.323281	237.294	260.281	16.651	0.0683896	0	0.0054947	0.00500321	0.0060188	0.160859	39.1647
2.94455	0.113134	818.279	491.59	18.9403	0.0580576	0	0.00224778	0.00374069	0.00135019	0.154498	50.4023
1.86725	0.131718	385.051	645.75	17.6526	0.0483517	0	0.00181122	0.00107978	0.00303647	0.10495	38.3159
2.81835	0.150729	615.476	650.049	18.868	0.0351042	0	0.00222675	0.00210783	0.00235126	0.148135	79.6204
2.84585	0.298532	213.163	692.762	18.4479	0.0793249	0	0.00314034	0.000965866	0.0101916	0.15158	35.2516
1.76328	0.158615	961.22	614.44	18.6348	0.0717961	0	0.00111896	0.00175003	0.000715154	0.0937941	24.3444
2.93352	0.191518	342.064	786.587	17.0129	0.071807	0	0.0025987	0.00112982	0.00597245	0.170402	40.3725
3.50969	0.313092	101.38	261.409	16.6285	0.0698985	0	0.00966584	0.00374414	0.0248467	0.206457	49.1151
3.57195	0.28796	205.419	501.331	17.26	0.0686648	0	0.00505199	0.00206885	0.0123123	0.203235	51.0862
3.30428	0.252571	982.47	735.185	17.9677	0.0752512	0	0.00192343	0.00256951	0.00143894	0.181269	43.2817
1.65165	0.165363	709.82	593.51	17.6825	0.0362523	0	0.0012671	0.00151499	0.00105923	0.0925053	45.1205
2.91155	0.175308	226.974	160.816	18.1571	0.0313251	0	0.00750468	0.0105805	0.00531312	0.158596	91.9277
2.68149	0.19168	47.7526	448.542	18.1917	0.0318647	0	0.00540094	0.000574749	0.0505284	0.145276	82.9386
3.08638	0.255386	547.626	121.67	18.2433	0.0362196	0	0.00460963	0.0207041	0.00102367	0.16648	83.8535
3.08825	0.27379	759.652	653.921	17.8385	0.0503441	0	0.00218429	0.0025364	0.0018796	0.170406	60.3802
